,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,cut_num,color_num,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,1,3,2,3955.416493429553
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,3,2,4,4683.050465901839
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,3,5,2,3584.965414863056
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,4,5,3,3545.272238979176
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,1,5,3,3812.521060247591
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,3,3,0,3992.4448945714666
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,1,5,3,3860.152871308246
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2,4,5,3936.874448334036
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3,4,1,4148.552823365017
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,7,5,2,3325.6552287714203
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,3,2,6,4254.419855405069
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,5,5,3,3693.4415325959544
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,5,5,0,3812.521060247591
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,3,5,6,2862.605302825579
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,3,1,6,3304.504097983061
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,2,5,5,3389.16431018563
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,2,2,1,3452.6733915998357
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,1,2,2,4757.1629572347865
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,2,4,4,4315.264162077308
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,7,5,3,3373.2870398320756
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,2,3,2,3113.9768537404398
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,4,3,4,3772.827884363711
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,1,3,4,4119.463057399878
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4,5,4,3357.409769478525
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,1,4,6,4079.769881516002
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,4,4,5,3944.8130835108113
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,5,5,4,3137.7927592707692
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2,4,3,4079.769881516002
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,5,4,6,4103.585787046328
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,0,3,1,4426.4050545521695
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4,3,1,2941.9916545933393
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,5,5,4,3545.272238979176
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,6,5,1,2846.7280324720286
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,1,5,6,3608.781320393382
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,2,3,3,2949.9302897701145
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,3,5,5,3788.7051547172614
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,4,5,6,3828.3983306011414
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,3,5,4,3473.824522388195
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,2,5,6,3301.8393232410945
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,4,4,0,4135.340327753433
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,5,3,6,3936.874448334036
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,4,5,3,3577.026779686281
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,4,5,3,3169.5472999778704
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,4,5,4,3521.4563334488503
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7,3,4,4415.801644633428
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4,5,0,3569.0881445095056
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,2,4,2,4638.08342958315
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1,3,5,3844.275600954692
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,7,5,3,3764.8892491869356
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,1,4,5,4204.123269602447
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,3,4,5,3976.567624217916
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,1,5,2,3553.210874155955
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,1,4,3,3952.7517186875866
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,3,4,2,4307.325526900533
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3,5,5,3891.9074120153473
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,6,5,2,3836.3369657779167
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,3,2,4,3987.171034136658
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,0,3,4,4323.202797254084
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,2,5,6,3545.272238979176
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1,2,5,5611.815092535488
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,5,5,2,3820.459695424366
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,7,5,5,3577.026779686281
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,5,4,6,3928.935813157261
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2,2,3,4945.025426735441
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,3,5,3,3317.716593594645
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7,5,2,3788.7051547172614
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,6,4,5,3976.567624217916
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,3,5,6,3553.210874155955
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,1,5,3,3285.962052887544
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,5,5,5,3868.0915064850215
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,3,4,1,4386.7118786682895
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,2,5,3,3780.766519540486
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,2,2,5,4026.864210020538
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,4,5,2,3325.6552287714203
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,2,5,6,3600.8426852166067
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,6,5,4,3042.5291371494586
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,3,4,3,4622.2061592295995
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,3,4,5,4519.003901931514
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2,3,5,4434.343689728945
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,4,5,0,4079.769881516002
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,7,5,4,3153.67002962432
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,6,5,3,3868.0915064850215
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,3,5,4,3584.965414863056
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4,3,2,5185.79356773156
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,1,4,3,3820.459695424366
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1,4,5,4746.559547316048
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,3,3,0,4455.494820517308
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2,3,3,4172.368728895342
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3,3,6,4175.033503637313
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4,3,2,4339.080067607638
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,1,3,4,4182.972138814088
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,3,4,2,4362.895973137964
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,2,3,4,3436.7961212462815
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,4,5,4,3764.8892491869356
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,3,4,3,4055.9539759856725
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,1,4,1,5140.826531412871
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5,5,4,3602.424843347051
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,3,5,6,3788.7051547172614
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2,5,4,3788.7051547172614
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,3,2,5,4127.401692576654
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,3,3,1,3984.5062593946914
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,3,5,1,3592.9040500398314
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3,3,5,4143.278962930208
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,2,4,4,4235.877810309552
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,3,5,2,3098.099583386889
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,5,5,3,3616.719955570161
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,3,3,0,4243.816445486327
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,1,3,5,4722.743641785719
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,3,5,3,3616.719955570161
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3,4,5,4251.7550806631025
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,5,5,3,3153.67002962432
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,1,4,2,3891.9074120153473
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,3,5,5,3828.3983306011414
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,0,2,3,4198.849409167638
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,3,4,5,4614.267524052824
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,5,3,4,3553.210874155955
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,2,1,4,4788.917497941891
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,4,3,6,3968.628989041141
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,4,4,3,4347.018702784413
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,4,5,0,3129.854124093994
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,4,5,0,4055.9539759856725
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,1,4,4,4362.895973137964
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,5,3,3,4442.28232490572
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,7,5,3,3381.225675008851
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,3,5,5,3577.026779686281
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,2,4,0,4127.401692576654
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,1,3,0,3907.7846823689015
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3,4,5,4534.881172285068
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,5,3,2,3537.333603802401
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,1,5,3,3780.766519540486
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4,5,4,3624.658590746936
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,3,5,6,3389.16431018563
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,2,5,1,3357.409769478525
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,3,5,5,3405.0415805391804
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,1,4,4,4563.970938250202
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,3,4,2,4611.602749310858
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,3,4,2,4495.187996401188
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,4,2,5,4722.743641785719
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,1,4,2,4196.184634425672
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,2,2,6,3444.7347564230568
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,4,5,4,3868.0915064850215
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,4,5,6,3113.9768537404398
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,2,4,3,4942.360651993475
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5,3,5,4431.678914986982
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,7,3,4,3889.2426372733808
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,4,3,6,4000.383529748242
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,5,5,4,3497.640427918521
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,2,5,3,4323.202797254084
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,6,5,3,3860.152871308246
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,2,3,5,4206.788044344414
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,2,5,2,3836.3369657779167
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3,3,5,4164.430093718567
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,2,5,4,3545.272238979176
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,3,5,5,3301.8393232410945
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,1,1,6,4294.113031288949
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,2,5,3,3341.532499124971
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,2,5,6,3632.5972259237114
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,4,3,3,3397.102945362405
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,4,4,3,4495.187996401188
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,1,1,2,4381.38232918436
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,4,4,2,4251.7550806631025
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,0,3,3,5265.17991949932
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,2,4,1,4942.360651993475
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,3,4,6,4370.834608314739
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,4,3,2,3365.3484046553003
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,2,5,5,3365.3484046553003
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,5,3,3,4714.805006608944
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,7,5,2,3121.9154889172187
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,1,5,1,3600.8426852166067
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,1,3,4,4630.144794406375
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,4,5,3,3489.7017927417455
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,6,5,3,3397.102945362405
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,5,5,2,3756.9506140101603
